address,allocation
0x10549ecf17b28457ab48fc0464d464150d926428,4475
0x105ebfdee916cb13eb245ba1ef8563891d21a2af,18776
0x1077f66f5e18fb99d4669294b5c0e2b0b172c016,81190
0x1082b3a0727a513cdf05e9f5b07e54fb9a18c58b,10553
0x1097ea6becc91b6e94a32a6ba3596f49c8e0415a,80752
0x10bf19e77c31a8fddcc9621b9f58415e98d4af9b,435
0x10d264203de54baf6a1f0f58bb4e0ed6779f9311,38272
0x10d810fc4f9371bda181c880caaf29045cac6e27,275
0x10f39896b92d47761427dd3e3470a1d2ea736647,10
0x11135473df4f870018d41ea77c45c55262d84199,3931
0x1114177daf662326cd38e1b18a26c5c29dd8c29e,1
0x112fbcd8c6058d212efe62bf8f0331c0754706b2,911
0x1136b7ff83eeac94952afb3458e739bdb2c7c9cd,40195
0x1140e000bc127c1799040d8b61afd822083274a3,10
0x114331b4f2813d7636db06e012f5f6a2385dff80,155
0x1149ab3bf93b6b1e48713bc74f5ecf0181e54437,622
0x116221199397373132f6bb48b38becf3a71049db,400
0x117142ca7c9127b2e36db5b34edaeb99b817c9e1,9950
0x117f90551929e1f730b2824d0fedea06a9c07ac3,750
0x118c5d9ebccdf2bf9f97685a0de382a87429b3f4,420
0x118fd83c16282bcdc7c7e33ead0ad18b73a53153,31
0x11a14ffcef780584dd9946dd6378a03e3de1eee5,39249
0x11aa3e99172a2eda237a2c53378899eca937c72e,45981
0x11ad6d998c66e5b487652314cc2c1ae44f870885,2835
0x11be775f694934a5dd54b51459cbb6957939dc66,3086
0x11c715213e2fa7a2d968cb66b7e4e84b669fd1fe,2025
0x11fa522c70f397115973d01fdd3c070fae67f11e,12979
0x120523dAa602eF7D8b93D5Ac161192B232468d79,1
0x1244b7dc37ba514b2486f386aa721bdc7ac0a59f,73904
0x129e1a6bd5dbed329aa92aa7229dadfc222c20bd,6007
0x12b08d4ff4824e0ca9e802a607ebac0e6c36f75b,1202
0x12bc2720a52ac3a5f345c9a689984c77be34b519,300
0x12ceb8f04807cd32a9daf0d0d23e8fc5697190ba,359
0x12d83bb065bdb6c62ae35cbc06ad961f4c44c62d,600
