address,allocation
0xd6146c64896d92d4d32c37cb06779ddf20a05c82,401
0x5445cc7e3e4941435236429749950d9258646855,400
0x5c632a444476d7a8974a1c0feb02b87fe18e61fd,384
0xd05c419ff91882a164b4e75a01fa47858061a8cc,383
0x26ba830ed018b1968927d756a0631bba7c234228,378
0x443af423c3c2684a34e6a9fb07082c5959a532e6,378
0x27fd393cbcfaf30d5bf7823d9f53e41fceb22bc1,373
0x8ea25c958f8abe2000a479991b3e13d16d5b8d87,371
0x3c5cad745897c3184c180ad8cd6c3f98c982c846,369
0x47e382992bcf297bbf232118e141784b2349f6ac,369
0x83cc8ba2b886ff10e12e830e4b5d874f73914076,362
0xf04ae23b24df175a4d69a64f33141a44128c0b5e,357
0x6db1dafb2649ed92c78c5c83467acfbee9de48b7,350
0x7f78139e2f3c8b84d6e5a8f334c602baeb5186c2,350
0xed51c645b99b0d76dbc25a72567fca9d3d276cfc,343
0xff44d051383b08e1f56fcbc0cf1e4684bc6d2196,342
0xe77a77d6d2d4cadb06a2ade003ec117158d9bcad,339
0xbf85d9b877683afbc2273dc1cfd11e489db6c8d2,335
0xb3effa082f86291f71a214bb5d3c4dd433f943d7,332
0x0df888b83a6158b496bd070b726e736ad42e9db4,332
0xfad576ebc93a47031ba895064405f8a04b6e96fc,331
0xcaf322f10cefd4a1b2cab0adaf595ad555e511ee,330
0x1a030413fee0847dc7e7c071f6c059c17f7d944f,330
0x1ede05a124ae0abcb2fe7b1cdaafe2207b3d1afd,327
0x9923a9771ece64c4cd76dc700bcbb2bf591fa2c3,322
0xe49e57cd3d373dcc2470f286ae152b27b858c51f,321
0xdde4ad09bdd30b44b9ccddea6c067fff572fad55,320
0x1b8d42f0451bc9077e58b1681abd874f174f376c,298
0xb67f1976a1e7af8972c06d03465cca14698c82b9,290
0x30661ebf5c425422e375c35828fd40d0b38f3e29,287
0x5e813f01ee065dc909061bfe00fefce9df1865ef,285
0x1921739527102e48f5d1b694259d5bc20cea10f4,279
0xebba1a9a3ee839c13c1281cc78e9da4e38a52e0f,278
0x219b77889831f84b68272b3aa204beca43f4cab9,275
0xcf443d249c2df5466914e53d7f14bceef515653b,275
0x5692c5332e3f921a3b671ca68297b16ddce7db13,273
0xb3db355aae7c7db2396f0f7944c3a67912197ef4,269
0x98dae572633f7a81e3eb5a6119952df7223e7b48,268
0xb2102074abe62be2f30dc612a7a9df43f7f28b05,260
0xf65bd56d081f2973758955836e6c3c5fdcbef4b2,258
0xd7ba08b855a3ee4b017818a3a17fff15affdb319,256
0x0c70dc96a0fa002c0c8f33e86ab6e95610290f90,254
0x7976d2ea5dbd5a466607d4d9d02a579066ff825c,253
0x09d85c1b9a940f1cdbcabe97f983d2d1637d32b1,252
0x5c7922734cfeccdaad7444b929df6fc5af17994f,252
0xea0949c90766dd444a21cbdad603906284af1751,250
0x7c29ca263aa8228a58452228034f3eafd94171aa,250
0x9609a78c065ac4b406aa6a5905240e59e52f1c8b,250
0xc1b6d5ff87aa49afffbe8e83c9059d9649cdba59,250
0xf391caf0cc2ae82638e22c91febdc251be3c3fa1,250
0xfb3cf2b92faf21400e9846a403982333b15d1985,250
0xde3270049c833ff2a52f18c7718227eb36a92323,249
0x898b1b8eaa804c90eb6df9025cb0d26aa1bcc951,241
0x3d30383235ddd6932ff354401a43e085bc88e2af,240
0x685a67274829e2de1859fd66df507f9479f31325,234
0x527eb84723fc76d94a5df0b30755ae96ec3d4673,234
0x03c833e6113c218f9fb31938ad2ac90279d87b25,232
0xefd4fea351ae233d4729de94f01d89cae3fc94c0,231
0x946151fa04270a2d81ff3abc7f0648f1767a0fce,229
0x9204e78e8db6a75af305da1ed29408e2ab6e3903,221
0x7e30fe0e75be1f3462fd5dc4eab6004528e42b62,220
0x1c80352b10e7a945eb56ec588fbbc153b7f7a796,214
0x0dbaf1cf49cb46d8bc44f5e2746d46cdec036bb3,208
0xfa09b6f847eb6a516354ea8421a3eba3e464ac90,204
0x6d2a2b8c855abd329ad1dd5bf7959b5a48d41f9b,202
0xfc860e03992661ba08ede69dd666e016f721b430,195
0x59ea8fcdf48423df4a1d4177a39dcd17531a49aa,194
0x26dbb540659ef40195f61395e143e050d0c7585f,187
0x3c2ef2529be596c4cb838c70465e9ec72ba81cb8,182
0x5af7468a32651f26a4beb8718cae838d27a0cf65,164
0x7058d3202f1ba70d8e55be315acb1eefa1968f91,163
0xb70c616343f63d0532cd11e6d5bedcc8a64ae398,161
0xecb875184d8219fade5a3d4044a07b8606a3c8e7,159
0x429d1ee15e4943ccde469f65396377bdfec96915,158
0x634e055f7d6ba55ce9b1dc6d25a851f348d7874e,157
0xf90c4b507577945c4db36dba3f19df0dab3a0b73,153
0x87be059c1e6c893934c5adcd5e39a0bef26f395d,153
0xd504badf10a6f7aa58c1365ebced1a6468fadfa8,153
0x3110f81f3d112da3b18557a64138bfc966c7babb,152
0x9f083dd4fa74a2705d6979978e7de5779b969a7f,150
0xe0ed95d162906a82fb8e8fc06322f3387c859644,150
0x2954ba45fb4b5ca97674dbb4104f2e98e43bdcda,150
0x84faff7c8b3457d0cb65f3137a2a3b9862f30fc7,150
0x13b3bb9392384a677c6d81f67a138a2c317256c6,148
0x40ea37a3fb9385ade4bbc248dc89f8991ac86237,146
0x1f96039b0bbbaf703f561058256f9643c552ba57,145
0x6d843e8230dab8663d57c5560718cd187485d5af,144
0x73e0b29e70d8d5a604f209a68e487ebfd6fb9028,139
0xe6ec516ee185902fbd891ddc3f43bb1e3c9fc95e,135
0xdeb935d60c8eb781f0945ee91bcaa36d9c36dbbb,134
0x48edd54299acf0ff12efa06d9cabbe42804b79e1,131
0x00003db5c4d04d45ca961cfbb600c609d8d12f41,128
0x0178f2fc0e7bc063bfca0da6d8e8c23b770330c9,128
0x0aa50a40b0110801fd9cf698a330274c8938e908,128
0x11aa3e99172a2eda237a2c53378899eca937c72e,128
0x366b276abad217091782429a980249cf5fa4ba4e,128
0x5476d6b510d5c373b1cfdf7c4b8cb4e7122817a1,128
0x5ceac642695ff4e16c713ff92965b0da1500cf0a,128
0xb84a81394c08b819e27c436c60f5733dc7bfa7f3,128
0xc0d5086e458375c31da62ece0a24a940b00b8b37,128
0xc4a7a1ca52c6643c4328b0c0924fbbc4cfbe67ba,128
0xc613fc29cff7d544b61b787331216d47d4745f39,128
0xd703419f80b47c2f930ac5ef0bd27a8dcd687808,128
0xde96735ae82b11a73fb89af1af70d0cf0b53a4f5,128
0xecf5f8f4f7e3dc60d2afd90460fad93f66f47a8c,128
0xf2d3000f17b89d8e8217d7fd9eb1d5e0fde7f428,128
